Cow,per,trt,oil,mon,C6,C8,C10,C12,C14,C16,C161,C18,C181,C182,C183,C204,C205,C22,C226,fatyld
146,1,1,0,0,0.31,1.08,3.58,5.33,19.2,56.04,4.31,0,0,4.9,1.36,1.38,0.94,0.52,1.05,1375.606
139,1,2,2,0,0,0,0.59,1.81,9.32,30.92,3.2,12.9,32.71,4.22,0.77,0.99,0.81,0.43,1.32,479.4993
145,1,3,0,14,0.21,0.7,3.62,5.65,20.61,0,0,24.21,36.63,4.68,1.37,0.85,0.4,0.35,0.73,826.6231
148,1,4,2,14,0,2.1,1.88,3.42,14.84,49.58,6.82,0,0,7.4,1.86,0.95,1.29,7.51,2.37,657.7649
148,2,1,0,0,0,0,5.49,10.11,19.56,34.07,2.64,6.37,19.78,1.98,0,0,0,0,0,948.8772
145,2,2,2,0,0,0,1.13,3.27,18.16,50.31,5.22,0,0,6.95,0.9,1.61,1.1,9.82,1.53,569.0269
139,2,3,0,14,0,0,1.96,4.32,12.92,36.38,2.05,11.03,23.75,3.07,0.72,0,0,0.63,3.17,539.6445
146,2,4,2,14,0,0.47,2.45,4.4,18.33,50.01,6.3,0,0,5.94,1.26,0.93,1.07,6.7,2.15,613.262
145,3,1,0,0,0,0,0.8,2.15,9.96,29.69,3.77,7.08,36.01,4.42,0.9,0,0.48,4.1,0.65,761.1425
146,3,2,2,0,0.09,0.45,1.56,2.86,13.81,52.78,6.6,0,0,7.39,2.08,1.61,1.63,6.13,3.02,714.2363
148,3,3,0,14,0,0,1.9,4.39,17.81,60.34,4.23,0,0,6.65,1.81,0.81,0,0.71,1.36,936.5927
139,3,4,2,14,0,0,1.04,3.1,15.61,47.96,6.65,0,0,7.65,1.39,1.82,0.93,12.19,1.65,355.5011
139,4,1,0,0,0,0.11,1.58,2.63,9.88,34.23,1.93,14.81,28.1,3.17,1.06,0.58,0.33,0.33,1.26,467.9702
148,4,2,2,0,0,0,0.85,2.39,12.5,47.33,6.07,0,0,7.06,1.53,1.01,1.65,13.44,6.16,528.1428
146,4,3,0,14,0,2.8,1.59,2.45,9.6,30.68,2.52,9.72,30.29,3.03,0.72,0.52,0.56,0.62,4.89,841.4345
145,4,4,2,14,0.11,0.87,3.71,6.09,0.16,73.29,3.17,0,0,6.56,1.98,1.38,0.7,0.67,1.31,435.0308
