Cow,per,trt,oil,mon,day,milkkg,fatp,protp,lactp
139,1,2,2,0,1,18.54,2.39,2.77,3.67
139,1,2,2,0,2,22.25,1.43,2.61,3.74
139,1,2,2,0,3,19.57,3.46,2.63,3.75
139,2,3,0,14,1,16.89,3.19,2.90,3.85
139,2,3,0,14,2,16.89,3.44,3.05,3.75
139,2,3,0,14,3,16.69,2.99,3.22,3.70
139,3,4,2,14,1,15.66,2.43,2.80,3.83
139,3,4,2,14,2,16.69,2.09,2.80,4.00
139,3,4,2,14,3,16.27,2.08,2.76,3.84
139,4,1,0,0,1,13.60,2.93,3.21,3.70
139,4,1,0,0,2,12.57,4.04,3.35,3.92
139,4,1,0,0,3,13.80,3.60,3.50,4.30
145,1,3,0,14,1,23.48,3.38,2.90,4.99
145,1,3,0,14,2,24.72,3.56,2.93,4.97
145,1,3,0,14,3,21.22,3.80,2.92,4.93
145,2,2,2,0,1,23.69,2.37,2.80,4.98
145,2,2,2,0,2,23.69,2.42,2.77,4.91
145,2,2,2,0,3,23.07,2.48,2.90,4.84
145,3,1,0,0,1,22.45,3.80,2.81,4.63
145,3,1,0,0,2,23.28,3.19,2.93,4.85
145,3,1,0,0,3,21.22,3.24,3.01,4.91
145,4,4,2,14,1,19.78,2.25,2.78,4.93
145,4,4,2,14,2,19.98,2.35,2.80,4.95
145,4,4,2,14,3,18.54,2.11,2.87,4.94
146,1,1,0,0,1,26.78,5.22,2.78,4.16
146,1,1,0,0,2,32.96,4.63,2.80,4.41
146,1,1,0,0,3,31.72,3.80,2.83,4.41
146,2,4,2,14,1,22.45,2.92,2.81,4.52
146,2,4,2,14,2,23.90,2.54,2.69,4.55
146,2,4,2,14,3,24.31,2.37,2.81,4.66
146,3,2,2,0,1,18.54,3.96,2.67,4.13
146,3,2,2,0,2,24.72,3.16,2.77,4.56
146,3,2,2,0,3,21.63,2.90,2.68,4.55
146,4,3,0,14,1,23.28,3.42,2.66,4.46
146,4,3,0,14,2,23.48,3.40,2.73,4.49
146,4,3,0,14,3,25.13,3.70,2.64,4.50
148,1,4,2,14,1,20.39,3.10,2.90,4.85
148,1,4,2,14,2,23.90,2.83,2.92,4.88
148,1,4,2,14,3,19.98,3.34,3.10,4.64
148,2,1,0,0,1,21.01,3.64,3.15,5.01
148,2,1,0,0,2,24.72,4.67,3.06,4.93
148,2,1,0,0,3,23.28,3.99,3.30,4.92
148,3,3,0,14,1,22.87,4.14,3.06,4.97
148,3,3,0,14,2,22.87,4.15,3.08,4.99
148,3,3,0,14,3,22.25,4.11,3.04,5.02
148,4,2,2,0,1,18.54,2.70,3.11,4.81
148,4,2,2,0,2,18.75,2.73,3.17,4.81
148,4,2,2,0,3,19.57,2.92,3.10,4.81
